"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"TFF2",-2.26720881594949,6.57880413002597,-5.84544626897878,1.7017500837569e-07,1.45911430246499e-05,7.11104991258852,"Downregulated"
"IFITM1",0.69349620159259,7.44313685062737,5.84483884771659,1.7058465389792e-07,1.45911430246499e-05,7.10876288873239,"No"
"STX6",0.433516266575495,5.32170132970617,5.84006737431927,1.73836620820745e-07,1.47930506969202e-05,7.09080006635199,"No"
"SLC9A2",-1.49792671532108,4.02385625971938,-5.83765354086847,1.75505016404224e-07,1.48588277663862e-05,7.08171452326479,"Downregulated"
"CEP170P1",0.825303206860315,4.58134561445587,5.83204885183343,1.79440147785047e-07,1.50809418964841e-05,7.06062303304868,"No"
"MSR1",1.01676485008585,4.70424170732052,5.83133699166802,1.79946154965882e-07,1.50809418964841e-05,7.0579445982019,"Upregulated"
"USP32P3",0.473772828849023,4.83713717815897,5.82205962641168,1.86671101535502e-07,1.55659309491463e-05,7.02304656317924,"No"
"ITPRIPL2",0.417468930653764,5.40335874449474,5.81609189504511,1.91127615342148e-07,1.5857858244938e-05,7.00060686884494,"No"
"NOTCH2",0.718474945255099,5.91609118575092,5.81427996701366,1.92501395121788e-07,1.58923788589599e-05,6.9937950639436,"No"
"FAM149A",-0.315056032252034,4.3529247023089,-5.8114375768296,1.94676140686697e-07,1.59923558344309e-05,6.98311059054247,"No"
"KCTD20",0.505986227087413,5.04432318197237,5.80958561904798,1.96106138210157e-07,1.60304692485682e-05,6.97614996689534,"No"
"PGC",-3.91068618482611,8.18945283694653,-5.80028964210935,2.03442367933816e-07,1.65486404583027e-05,6.94122086962556,"Downregulated"
"CLCNKA",-0.363667909912469,4.20096011522399,-5.79191844600681,2.10280429102102e-07,1.70214314171721e-05,6.90978096550527,"No"
