"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"MAD2L1",-1.22014114493426,8.55126852269524,-5.5250559846294,0.000640603614420992,0.0169388301960809,-0.200462186448276,"Downregulated"
"PSG7",-0.972429993144356,8.07893686120223,-5.51699814656256,0.000646512974564847,0.0170153448627847,-0.21021546636213,"Downregulated"
"CARD10",-0.78296825673166,7.2295416088494,-5.47018423160005,0.000682056028884939,0.0175057289529344,-0.267064356420823,"Downregulated"
"BMAL2",-0.790257593807933,7.08907900617888,-5.45761766583866,0.000691959934811069,0.0176929818942231,-0.282378496997294,"Downregulated"
"KIF11",-1.37736182838501,6.88476209492416,-5.45659855990764,0.000692770027800597,0.0176929818942231,-0.283621422290862,"Downregulated"
"SNHG19",0.741784495728769,9.4492005845663,5.44724545729026,0.000700253858853267,0.0178547486375592,-0.295035697702419,"Upregulated"
"RFC3",-1.26601851675961,8.15813606329753,-5.3561577143288,0.000777980605473281,0.0192671177699986,-0.406860062134401,"Downregulated"
"ADRB2",-0.911900708539008,5.91238157899974,-5.33304424303044,0.000799183031370823,0.0193646751399383,-0.435427454355175,"Downregulated"
"ASF1B",-1.15322701057868,8.0791353031619,-5.31264941525895,0.000818420524193166,0.0196117807093696,-0.460699476012413,"Downregulated"
"ZIC1",-1.17452476954459,7.01236052528374,-5.30104610038051,0.000829592427509292,0.0197878820497147,-0.475104731839938,"Downregulated"
"ESPL1",-0.773340438820242,7.22367084515593,-5.2454814676782,0.00088546854279481,0.0208011430143991,-0.544360341180156,"Downregulated"
"OGFRL1",0.78903662546656,8.14887851524739,5.2386174411289,0.000892653581997507,0.0208604338446131,-0.552947084549526,"Upregulated"
"TNFSF13B",-0.835104396027451,6.51435322291607,-5.23581145608399,0.00089560923578305,0.0208604338446131,-0.556459302574973,"Downregulated"
"KCNS2",0.783529460310666,6.14024819996279,5.14125610984624,0.00100178091895415,0.0223500777435633,-0.675490954747258,"Upregulated"
"CDC45",-1.17164260186334,6.77889757798975,-5.12483158195204,0.00102159624893413,0.0226619236477845,-0.696301596805188,"Downregulated"
"USP1",-0.825464709255433,8.76865065227809,-5.11626868262988,0.00103209734962097,0.0227647835865263,-0.707167012922881,"Downregulated"
"IL33",-1.23552280148291,8.93285810579974,-5.04163324692203,0.00112881257628233,0.024011235184263,-0.802331476181267,"Downregulated"
"ISG20",-0.873854938152278,6.67112574596112,-5.00443484087545,0.0011806952006501,0.0247433115085892,-0.850070275649744,"Downregulated"
"MELK",-1.07058144783858,9.51465383951808,-4.98886801444432,0.00120317876724173,0.0250106558202538,-0.870109110005295,"Downregulated"
"PRIM2",-0.926895866205209,7.4541283823089,-4.98364796600223,0.00121082301197988,0.0251023494392838,-0.876836834739312,"Downregulated"
"CENPK",-0.837726654720583,7.39459629425818,-4.97264976177646,0.00122710370147527,0.0251905488636258,-0.891024858213817,"Downregulated"
"SGCG",-1.68033874119529,8.8773634345139,-4.95922990145622,0.00124729510216712,0.025515038226299,-0.908361281872062,"Downregulated"
"CPZ",-0.858158600535875,7.12511999673767,-4.92825073070438,0.00129531107206063,0.0261555140792686,-0.948484095310866,"Downregulated"
"NEK2",-1.3865580868596,7.08599991074988,-4.92706171674844,0.00129719391074835,0.0261595156442863,-0.950026901481991,"Downregulated"
"PRPS2",-0.814728085314456,7.81850802737172,-4.91633750059801,0.0013143121885903,0.0263223054027952,-0.963951639056895,"Downregulated"
"CCNB2",-0.801704765868903,7.26388266384322,-4.91046888796057,0.00132378449985118,0.0263873244078165,-0.97157893060352,"Downregulated"
